review_text,polarity
"Que filme sem sal! A história é insossa, os personagens são esquecíveis e o desenvolvimento é morno. Uma experiência sem impacto.",0
"Que filme sem emoção! Não há nada que prenda a atenção, nada que emocione, apenas um vazio cinematográfico. Uma experiência decepcionante.",0
Um filme que te faz questionar suas próprias crenças. A complexidade da trama é fascinante. Vale a pena conferir.,1
Não gostei nem um pouco.,0
Um belo filme.,1
Saí do cinema com a sensação de ter sido traído. O filme prometia muito e entregou um produto final de péssima qualidade. Um fiasco.,0
Enredo muito sem graça e clichês piores ainda. Esperava mais...,0
"Que produção desleixada! A falta de cuidado com os detalhes é evidente, desde os erros de continuidade até a trilha sonora inadequada. Um desastre.",0
Simplesmente genial! A forma como os temas complexos são abordados é admirável. Um filme que ficará marcado.,1
"Um filme que me fez sentir pena. Pena dos atores, pena dos envolvidos na produção e pena de mim mesmo por ter assistido.",0
"Onde fica esse lugar incrível onde foi filmada a rave e tal? Eu me apaixonei pela locação <3. Odiei o fato de colocarem que todos que frequentassem esse tipo de festa/balada/rave como usuários de drogas, generalizou bastante. A fotografia é bem bonita, mas o filme poderia ser melhor desenvolvido... Enfim. Maomenos.",0
"Não recomendo nem para o meu pior inimigo. O filme é entediante, sem graça e com uma mensagem equivocada. Pura perda de tempo.",0
"Um filme que me fez sentir pena. Pena dos atores, pena dos envolvidos na produção e pena de mim mesmo por ter assistido.",0
Que roteiro brilhante! Cada diálogo é afiado e cada cena é essencial. Um filme para ser apreciado.,1
Um espetáculo de filme! A fotografia é deslumbrante e a trilha sonora é de arrepiar. Saí do cinema em êxtase.,1
Absolutamente maravilhoso! A cinematografia é deslumbrante e a atuação do elenco principal é de tirar o fôlego. Uma obra-prima!,1
"Saí do cinema frustrado. O filme é arrastado, sem emoção e com diálogos sem sentido. Uma grande decepção.",0
O melhor filme nacional que assisti nos últimos 3 anos. Sem sombra nenhuma de dúvidas. A trilha sonora? Nem se fale...,1
Saí do cinema emocionado. Um filme que toca a alma e faz refletir sobre a vida. Simplesmente perfeito.,1
Um belo filme.,1
"Que filme sem sal! A história é insossa, os personagens são esquecíveis e o desenvolvimento é morno. Uma experiência sem impacto.",0
Um filme que me fez sentir tédio. A falta de ritmo e a monotonia são exasperantes. Não recomendo de forma alguma.,0
"Um filme que me fez sentir pena. Pena dos atores, pena dos envolvidos na produção e pena de mim mesmo por ter assistido.",0
Um filme que me fez questionar o propósito da arte. A falta de criatividade e originalidade é desanimadora. Um filme para esquecer.,0
"Saí do cinema com a sensação de ter sido enganado. O filme é superficial, previsível e sem qualquer mérito artístico. Um fiasco.",0
"Que filme sensível e encantador. Paisagens, personagens, trilha, tudo muito gostoso de assistir. Ps: só o Oliver que é meio chato mesmo.",1
"Que filme ruim! A história não faz sentido, os efeitos especiais são toscos e as atuações são vergonhosas. Um lixo.",0
Um filme que me fez perder a paciência. A enrolação é tanta que chega a ser irritante. Não recomendo.,0
Uma joia rara! A direção é ousada e a atuação é visceral. Um filme que fica na memória.,1
"Saí do cinema com a sensação de ter sido enganado. O filme é superficial, previsível e sem qualquer mérito artístico. Um fiasco.",0
"Um desastre cinematográfico. A história é confusa, os personagens são rasos e o final é previsível. Não recomendo.",0
